Tenure,Age,Category,Gender,Department,Dept_Ratio,Amount,Class
1665,24,2,0,29,0.195,21.1293,Non-active
57,20,2,0,11,0.096,20.1415,Non-active
433,23,2,1,5,0.05,20.1415,Non-active
68,21,2,1,40,0.009,20.1415,Non-active
303,23,2,1,37,0.099,21.3228,Non-active
1132,21,2,0,14,0.124,20.1415,Non-active
1085,29,2,1,39,0.13,21.3228,Non-active
268,19,2,1,39,0.13,21.3228,Non-active
325,26,2,0,11,0.096,20.1415,Non-active
734,20,2,1,28,0.046,20.1415,Non-active
1317,29,0,0,29,0.195,24.197,Non-active
220,28,2,1,33,0.155,20.1415,Non-active
217,18,2,1,39,0.13,21.3228,Non-active
1553,22,2,1,39,0.13,21.3228,Non-active
653,27,2,1,39,0.13,21.3228,Non-active
821,23,2,1,5,0.05,20.1415,Non-active
59,33,2,0,33,0.155,23.0003,Non-active
213,22,2,0,33,0.155,20.1415,Non-active
227,19,2,1,33,0.155,20.1415,Non-active
496,27,2,0,33,0.155,23.3901,Non-active
2214,30,2,1,11,0.096,20.1415,Active
360,23,2,1,31,0.027,20.1415,Non-active
837,32,0,1,16,0.011,43.886,Non-active
108,24,2,1,14,0.124,23.3901,Non-active
29,27,2,0,14,0.124,25.1385,Non-active
209,29,2,0,39,0.13,21.3228,Non-active
125,25,2,1,39,0.13,21.3228,Non-active
852,23,2,0,14,0.124,20.1415,Non-active
1173,27,0,0,33,0.155,26.027,Non-active
111,21,2,1,5,0.05,20.1415,Non-active
1287,24,2,1,31,0.027,20.1415,Non-active
1077,23,2,1,5,0.05,20.1415,Non-active
762,22,2,1,5,0.05,20.1415,Non-active
503,19,2,0,17,0.03,21.3228,Non-active
113,22,2,0,31,0.027,20.1415,Non-active
94,21,1,1,28,0.046,28.339,Non-active
142,38,0,0,17,0.03,30.3363,Non-active
825,22,2,1,14,0.124,20.1415,Non-active
1367,22,2,1,40,0.009,20.3549,Non-active
3,47,2,1,14,0.124,25.1385,Non-active
1624,22,2,1,37,0.099,21.3228,Non-active
352,23,2,1,30,0.025,21.8566,Non-active
1134,42,0,1,28,0.046,26.027,Non-active
119,19,2,0,33,0.155,20.1415,Non-active
66,28,0,1,14,0.124,26.9577,Non-active
164,26,2,1,4,0.027,20.719,Non-active
1159,27,0,0,30,0.025,30.3363,Non-active
153,32,2,1,33,0.155,20.1415,Non-active
2124,66,2,0,10,0.011,26.6492,Non-active
87,22,2,0,27,0.012,20.1415,Non-active
249,23,2,1,33,0.155,20.1415,Non-active
594,22,2,0,14,0.124,20.1415,Non-active
1243,26,0,1,22,0.016,29.6865,Non-active
146,54,2,1,27,0.012,21.3228,Non-active
31,38,2,1,24,0.011,33.5613,Non-active
1286,29,2,0,39,0.13,23.3901,Non-active
215,27,2,1,11,0.096,20.1415,Non-active
665,26,0,1,4,0.027,33.5613,Non-active
148,27,0,1,29,0.195,26.9577,Non-active
93,57,1,1,29,0.195,28.339,Non-active
732,24,2,1,22,0.016,20.1415,Non-active
1332,36,0,0,13,0.006,34.8607,Non-active
31,27,2,1,23,0.001,20.1415,Non-active
1397,34,0,0,13,0.006,41.3107,Non-active
241,26,2,0,31,0.027,22.2272,Non-active
3558,65,0,0,33,0.155,36.1483,Active
2088,32,2,0,11,0.096,21.1293,Active
267,35,2,1,29,0.195,20.1415,Non-active
13,25,2,0,29,0.195,20.1415,Non-active
404,26,2,1,33,0.155,20.1415,Non-active
214,31,2,0,33,0.155,20.1415,Non-active
163,21,2,1,5,0.05,20.1415,Non-active
1469,22,2,1,29,0.195,20.1415,Non-active
1346,23,2,1,14,0.124,20.1415,Non-active
254,27,2,1,11,0.096,20.1415,Non-active
615,59,2,1,29,0.195,20.1415,Non-active
1980,29,2,0,39,0.13,25.1385,Non-active
2072,44,2,0,11,0.096,20.1415,Active
368,24,2,0,5,0.05,20.1415,Non-active
1003,24,2,1,29,0.195,20.1415,Non-active
323,21,2,1,31,0.027,20.1415,Non-active
752,20,2,0,29,0.195,20.1415,Non-active
1141,25,2,1,14,0.124,20.1415,Non-active
1638,29,0,1,17,0.03,36.1483,Non-active
3673,42,0,0,29,0.195,32.2736,Active
2401,33,0,1,30,0.025,45.1854,Active
2409,37,0,1,8,0.015,36.1483,Active
2079,53,1,1,29,0.195,22.2272,Non-active
95,27,1,1,33,0.155,25.1385,Non-active
76,40,2,0,29,0.195,20.1415,Non-active
151,24,2,0,11,0.096,20.1415,Non-active
149,23,2,1,11,0.096,20.1415,Non-active
353,29,2,1,30,0.025,25.8709,Non-active
1128,21,2,1,4,0.027,22.8349,Non-active
522,30,2,0,33,0.155,20.1415,Non-active
3245,28,2,0,5,0.05,20.1415,Non-active
178,25,2,1,17,0.03,27.8673,Non-active
137,21,2,1,33,0.155,20.1415,Non-active
4139,46,0,1,14,0.124,40.342,Active
1833,29,2,1,29,0.195,20.1415,Non-active
109,33,2,1,5,0.05,20.1415,Non-active
73,45,0,0,17,0.03,31.6357,Non-active
871,44,1,1,26,0.001,40.342,Non-active
621,26,2,0,33,0.155,20.1415,Active
167,19,2,1,5,0.05,20.1415,Non-active
94,26,2,1,5,0.05,20.1415,Non-active
2755,31,0,1,27,0.012,34.8607,Non-active
3201,28,0,1,17,0.03,32.2736,Active
2445,26,2,0,37,0.099,23.3901,Active
1412,38,0,1,24,0.011,76.4423,Non-active
1421,22,0,1,4,0.027,28.7178,Non-active
8582,73,0,1,11,0.096,27.5888,Active
2599,29,0,0,37,0.099,32.2736,Active
2282,25,2,0,40,0.009,20.3549,Non-active
375,21,0,1,15,0.031,18.29,Non-active
375,21,1,0,42,0.017,18.29,Non-active
375,21,1,0,42,0.017,18.29,Non-active
375,22,1,0,9,0.02,18.29,Non-active
375,22,1,0,9,0.02,18.29,Non-active
375,20,1,0,20,0.017,18.29,Non-active
375,21,1,0,41,0.027,18.29,Non-active
375,23,1,1,20,0.017,18.29,Non-active
199,22,2,1,22,0.016,20.1415,Non-active
706,33,2,1,22,0.016,20.1415,Non-active
2354,34,0,0,8,0.015,45.5466,Active
2285,25,2,0,11,0.096,20.1415,Non-active
2,29,2,0,14,0.124,20.1415,Non-active
86,23,1,0,29,0.195,25.1385,Non-active
672,23,1,0,42,0.017,18.29,Non-active
208,21,2,1,29,0.195,20.1415,Non-active
170,22,2,1,39,0.13,21.3228,Non-active
473,22,2,1,37,0.099,21.3228,Non-active
2760,40,0,0,7,0.001,31.6357,Active
1885,25,0,1,5,0.05,30.3363,Active
909,22,2,0,29,0.195,20.1415,Non-active
2506,26,2,1,39,0.13,23.3901,Non-active
77,22,2,1,33,0.155,20.1415,Non-active
199,23,2,1,14,0.124,20.1415,Non-active
473,21,2,1,37,0.099,21.3228,Non-active
29,26,2,1,37,0.099,21.3228,Non-active
252,43,2,0,29,0.195,21.1293,Non-active
535,22,2,1,14,0.124,20.1415,Non-active
1467,40,2,1,33,0.155,20.1415,Non-active
27,22,2,1,14,0.124,20.1415,Non-active
19,27,2,0,29,0.195,20.1415,Non-active
1291,23,2,1,28,0.046,20.1415,Non-active
1399,25,2,0,28,0.046,20.1415,Non-active
433,30,2,0,33,0.155,20.1415,Non-active
1484,25,2,0,5,0.05,20.1415,Non-active
226,20,2,1,33,0.155,20.1415,Non-active
410,19,2,0,33,0.155,20.1415,Non-active
1129,43,1,1,18,0.002,33.5613,Non-active
1093,34,0,0,29,0.195,30.986,Non-active
272,31,2,1,29,0.195,20.1415,Non-active
263,18,2,0,14,0.124,20.1415,Non-active
1303,23,2,1,29,0.195,20.1415,Non-active
466,22,2,1,33,0.155,20.1415,Non-active
365,23,2,0,29,0.195,20.1415,Non-active
501,57,0,0,29,0.195,29.6865,Non-active
958,24,2,0,31,0.027,20.1415,Non-active
812,22,2,0,11,0.096,20.1415,Non-active
263,52,0,0,11,0.096,23.0003,Non-active
168,32,2,0,22,0.016,21.8659,Non-active
403,20,2,0,33,0.155,20.1415,Non-active
1283,29,2,1,39,0.13,21.3228,Non-active
549,19,2,0,37,0.099,21.3228,Non-active
1245,22,2,1,37,0.099,21.3228,Non-active
269,55,2,0,29,0.195,20.1415,Non-active
410,22,2,1,33,0.155,20.1415,Non-active
386,22,2,1,29,0.195,20.1415,Non-active
379,30,2,1,17,0.03,26.9577,Non-active
1079,35,2,1,11,0.096,20.1415,Non-active
131,23,2,1,37,0.099,21.3228,Non-active
35,22,0,1,33,0.155,20.1415,Non-active
24,18,2,0,29,0.195,20.1415,Non-active
905,20,2,1,37,0.099,21.3228,Non-active
368,31,2,0,11,0.096,20.1415,Non-active
1835,23,2,1,14,0.124,21.3228,Active
304,23,2,1,37,0.099,21.3228,Non-active
37,36,2,1,11,0.096,20.1415,Active
1836,30,0,1,14,0.124,29.6865,Active
242,24,0,1,30,0.025,28.7178,Non-active
93,23,2,1,11,0.096,20.1415,Non-active
608,26,2,0,37,0.099,21.3228,Non-active
1191,23,0,1,29,0.195,22.2272,Non-active
396,40,1,0,29,0.195,25.1385,Non-active
490,35,2,1,14,0.124,20.1415,Non-active
311,22,2,1,29,0.195,20.1415,Non-active
467,23,2,1,39,0.13,21.3228,Non-active
88,34,2,0,11,0.096,20.1415,Non-active
0,20,2,1,14,0.124,20.1415,Non-active
0,24,2,0,14,0.124,20.1415,Non-active
738,23,2,0,37,0.099,21.3228,Non-active
160,34,2,1,29,0.195,20.1415,Non-active
485,26,2,1,14,0.124,20.1415,Non-active
489,21,0,1,29,0.195,25.1385,Non-active
639,21,2,1,37,0.099,21.3228,Non-active
1090,24,2,1,39,0.13,21.3228,Non-active
48,61,2,1,27,0.012,20.1415,Non-active
1624,34,2,1,33,0.155,21.1293,Non-active
1688,22,2,1,16,0.011,28.7178,Non-active
1745,31,0,1,39,0.13,32.2736,Active
661,23,2,0,14,0.124,20.1415,Non-active
767,21,2,1,33,0.155,20.1415,Non-active
185,24,2,0,11,0.096,20.1415,Non-active
745,29,2,1,14,0.124,20.1415,Non-active
1317,43,2,1,11,0.096,20.1415,Non-active
1567,25,2,1,22,0.016,20.1415,Non-active
1708,33,1,0,4,0.027,36.1483,Active
614,21,2,1,14,0.124,20.1415,Non-active
638,23,2,0,14,0.124,20.1415,Non-active
210,22,2,1,28,0.046,20.1415,Non-active
69,20,2,1,5,0.05,20.1415,Non-active
1479,23,2,1,33,0.155,20.1415,Non-active
78,25,2,1,29,0.195,20.1415,Non-active
1692,24,2,1,33,0.155,20.1415,Active
221,49,2,1,22,0.016,20.1415,Non-active
83,24,2,1,33,0.155,20.1415,Non-active
73,30,2,1,29,0.195,20.1415,Non-active
203,23,2,1,27,0.012,20.1415,Non-active
58,25,2,1,37,0.099,21.3228,Non-active
205,23,2,0,37,0.099,21.3228,Non-active
140,57,2,1,33,0.155,20.1415,Non-active
186,21,2,1,37,0.099,21.3228,Non-active
196,26,2,0,33,0.155,20.1415,Non-active
125,26,2,0,39,0.13,25.1385,Non-active
2438,62,0,0,33,0.155,29.6865,Active
347,25,0,0,15,0.031,18.29,Non-active
347,22,0,1,15,0.031,18.29,Non-active
347,23,0,0,15,0.031,18.29,Non-active
347,22,1,0,9,0.02,18.29,Non-active
347,20,1,1,20,0.017,18.29,Non-active
729,23,1,1,41,0.027,18.29,Non-active
144,22,1,1,41,0.027,18.29,Non-active
729,28,0,1,15,0.031,18.29,Non-active
347,23,1,0,41,0.027,18.29,Non-active
347,22,1,1,9,0.02,18.29,Non-active
229,24,2,1,21,0.014,24.197,Non-active
1249,56,0,0,16,0.011,62.672,Non-active
67,27,2,0,37,0.099,25.1385,Non-active
361,42,0,1,24,0.011,45.167,Non-active
2802,32,0,0,8,0.015,36.1483,Active
1271,27,0,1,30,0.025,30.3363,Non-active
289,41,1,1,27,0.012,27.5888,Non-active
138,21,2,1,14,0.124,20.1415,Non-active
352,21,2,1,14,0.124,20.1415,Non-active
441,22,2,1,14,0.124,20.1415,Non-active
784,20,2,1,33,0.155,20.1415,Non-active
263,23,2,1,33,0.155,20.1415,Non-active
784,22,2,1,33,0.155,20.1415,Non-active
